TOA5	Tower3	CR1000	67786	CR1000.Std.27.04	CPU:106330-3.CR1	38136	ThreeHr
TIMESTAMP	RECORD	TotPrec					
TS	RN						
		Tot					
5/11/15 15:00	647	0					
5/11/15 18:00	648	0					
5/11/15 21:00	649	0					
40674	650	0					
5/12/15 3:00	651	0					
5/12/15 6:00	652	0					
5/12/15 9:00	653	0					
5/12/15 12:00	654	0					
5/12/15 15:00	655	0					
5/12/15 18:00	656	0					
5/12/15 21:00	657	0					
40675	658	0.5					
5/13/15 3:00	659	1.55					
5/13/15 6:00	660	0.25					
5/13/15 9:00	661	0					
5/13/15 12:00	662	0					
5/13/15 15:00	663	0					
5/13/15 18:00	664	0					
5/13/15 21:00	665	0					
40676	666	0					
5/14/15 3:00	667	0					
5/14/15 6:00	668	0					
5/14/15 9:00	669	0					
5/14/15 12:00	670	0					
5/14/15 15:00	671	0					
5/14/15 18:00	672	0.075					
5/14/15 21:00	673	0					
40677	674	0.05					
5/15/15 3:00	675	0					
5/15/15 6:00	676	0					
5/15/15 9:00	677	0					
5/15/15 12:00	678	0					
5/15/15 15:00	679	0					
5/15/15 18:00	680	0					
5/15/15 21:00	681	0					
40678	682	0					
5/16/15 3:00	683	0					
5/16/15 6:00	684	0					
5/16/15 9:00	685	0					
5/16/15 12:00	686	0					
5/16/15 15:00	687	0					
5/16/15 18:00	688	0					
5/16/15 21:00	689	0					
40679	690	0					
5/17/15 3:00	691	0					
5/17/15 6:00	692	0					
5/17/15 9:00	693	0					
5/17/15 12:00	694	0					
5/17/15 15:00	695	0					
5/17/15 18:00	696	0					
5/17/15 21:00	697	0					
40680	698	0					
5/18/15 3:00	699	0					
5/18/15 6:00	700	0					
5/18/15 9:00	701	0					
5/18/15 12:00	702	0.025					
5/18/15 15:00	703	0					
5/18/15 18:00	704	0.025					
5/18/15 21:00	705	0					
40681	706	0.025					
5/19/15 3:00	707	0					
5/19/15 6:00	708	0					
5/19/15 9:00	709	0					
5/19/15 12:00	710	0					
5/19/15 15:00	711	0					
5/19/15 18:00	712	0					
5/19/15 21:00	713	0					
40682	714	0					
5/20/15 3:00	715	0					
5/20/15 6:00	716	0					
5/20/15 9:00	717	0					
5/20/15 12:00	718	0					
5/20/15 15:00	719	0					
5/20/15 18:00	720	0					
5/20/15 21:00	721	0					
40683	722	0					
5/21/15 3:00	723	0					
5/21/15 6:00	724	0					
5/21/15 9:00	725	0					
5/21/15 12:00	726	0					
5/21/15 15:00	727	0					
